text_id,text,hate
hasoc_en_66,Gee... where have we seen this before? #fucktrump #ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa  https://t.co/Hb5krYqkIB,0
hasoc_en_2926,Congress should not forget that Modi is the Pm of India and he Definitely deserves respect. Congress should immediately apologize for this low standard comment.#Congress #GandiNaaliAbuse #GandiNaaliInsult #BJP,1
hasoc_en_2502,Yeah he is 😂 #FuckTrump https://t.co/5AlfNX0FGc,0
hasoc_en_268,BECAUSE THE USA GOT INVOLVED IN EL SALVADOR NOT 'MUSLIM COUNTRIES'  ,1
hasoc_en_4026,😂😂🤙🏽🤙🏽😰😰 Buy a #fucktrump #hat today. I took the price down &amp; #freeshipping CLICK on LINK in my bio. Or PRE-Order a #chingatrump hat ! 🤙🏽🤟🏾👊🏽💪🏾 #peaceout #forthewin #imissobama #dumptrump #resist #impeach #etsy… https://t.co/UR1FktTpt9,1
hasoc_en_2391,@BrianKarem @realDonaldTrump Be Quiet or the racist scarecrow with the orange face will get you!!  #fucktrump #FUCKTHEGOP #ImpeachTrumpNow https://t.co/RAyBWJczqR,1
hasoc_en_1230,Pakistani players offered Namaz many times on ground then never get objection from ICC..  But MS Dhoni can't wear army insignia Gloves ??   #DhoniKeepsTheGlove,0
hasoc_en_4186,"@JhaSanjay Dear #SanjayJha, ur tweet is reflecting ur frustration towards the success of #BJP #Modi #ModiGovt. Rather than saying 'BullShit', better u concentrate on coming Elections, hope ur party wil get reverse of 52 in #LokSabhaElections2024. #CongressMuktBharat #ModiFor2024 @BJP4India",1
hasoc_en_3821,".@AfridaRahmanAli: Thousands of spectators who have flocked to England from various parts of the globe have been severe disappointment. At this rate, is it even a fair game anymore? #ICCWorldCup #ShameOnICC https://t.co/kDP6mYi9LR",0
hasoc_en_445,@INCIndia We know who’s power hungry. We haven’t forgotten what this vile woman did to #PVNarasimhaRao and his legacy. #congressmuktbharat,0
hasoc_en_92,@realDonaldTrump Destroy our country?  More like defending our country against a treasonous traitor in the white house!    #TrumpIsATraitor   #TrumpTaxes  #TrumpsAnInternationalDisgrace   #TrumpMustResign,1
hasoc_en_455,"@GOP @realDonaldTrump He’s also lied, cheated, committed crimes against America, broken emoluments laws, nepotism, spread his corruption, conspired with Russia, and banked millions of our tax dollars while you dumbf**ks cheer    -You have become his accomplices   #TrumpIsAFraud #TrumpIsATraitor",1
hasoc_en_3406,"@Femi_Sorry #BorisJohnsonShouldNotBePM?    No, #BorisJohnsonShouldBeArrested #AlongWithTheRestOfThem.    They are quite literally, and quite openly, plotting to cause severe damage to the UK. If a foreign power were doing what they were doing we would call it an act of war.",0
hasoc_en_1002,BBC News - Waltham Forest Pride: Police probe 'homophobic abuse' video https://www.bbc.com/news/uk-england-london-49147605 … She is a disgrace to Islam,0
hasoc_en_1830,@WhiteHouse This is a seriously gross image especially on #JohnMcCainDay. #JohnMcCainisaHero #TrumpIsACoward #TrumpIsATraitor #JohnMcCainDayJune14th,0
hasoc_en_5170,Petition the moron with a swastika in his El Sobrante front yard to knock it off #Resist #ResistTrump #FuckTrump https://t.co/N6tbPZQVSC,0
hasoc_en_3549,@BDUTT @msdhoni @adgpi One of a rare time to be agreed with you!   #DhoniKeepsTheGlove,0
hasoc_en_4898,"Icc have a objection on gloves but not this Pakistani show if you agree,  Retweet this as much as you can #PAKvSL     #doublestanders  #DhoniKeepsTheGlove https://t.co/ugQgLhHRS6",1
hasoc_en_4405,"@Pontifex Give them some of your vast amounts of money. If you can spend it covering up child rape, why not spend it on the starving? #dickhead",0
hasoc_en_5813,@DonaldJTrumpJr #djtj #geniusjunior #dumbass How about WE take care of the CHILDREN we already have?!?  BTW.......how many children has the  #TrumpCrimeFamily   Fostered???????#TrumpIsATraitor https://t.co/BrIfJdKxzr,0
hasoc_en_5602,@TGeffen @darwinwoodka @LucasRoman @ImagineWorldas1 @realDonaldTrump He has destroyed this country. We need him out. Dragged by his ugly orange roots and pissed on. #ImpeachTrump #FuckTrump,1
hasoc_en_874,I demand #justice for twinkle sharma  #Shame on this constitution😶  #rapist ko phasi do,0
hasoc_en_528,Both BCCI n ICC are stupid.... Ravi Shastri ka karo BC Saala Har cheez mein fail hoga...,1
hasoc_en_5177,"#Rangzen people, we have to do whatever is possible to stop this fake activist from sabotaging our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #Rangzen https://t.co/U15hUj5jbi",0
hasoc_en_1301,now every time i log in to twitter..there is some shaming going on.    #ShameOnKaranJohar  #ShameOnRohitShetty    And now-  #ShameOnICC,0
hasoc_en_517,Kolkata Muslims write to Mamata Banerjee: Don’t let culprits who attacked doctors and Ushoshie get away just because they are Muslims  ,0
hasoc_en1_991,"Happy Birthday to Sh @nitin_gadkari Ji, God bless you good health and long life sir.",0
hasoc_en_3960,This bozo is happy for the country to have a PM deciding how much scrutiny he gets. The less the better it appears. 🙄FFS. #BorisJohnsonShouldNotBePM https://t.co/SosAKxtGSG,1
hasoc_en_2953,"@ICC Everyone waited for 4 years to see the England Rains , what a proud moment 👏👏👏  #ShameOnICC   #INDvNZ #NZvIND #CWC19  #INDvPAK #PAKvIND #INDvNZ #NZvIND #CWC19    #TeamIndia     #CWC2010 #Dhoni #dhonikeepstheglove",0
hasoc_en_2654,"@tedlieu But, Good News..   If you are a #MURDERER your money is still #good here.. 🤙🏻👍🏻  #EdBuck https://t.co/pmdoUMsyg2",0
hasoc_en_2249,another GOOD reason 2 NOT reveal identity of rape accused man!! not only because he might be INNOCENT .. but because people MISTAKE him 4 someone else with same name. PREPOSTEROUS!! karan WAHI #rapist now?    @timesofindia  @vineetjaintimes @ncw @smritiirani https://t.co/oy9omDRqI3,0
hasoc_en1_1880,Thankful to Prime Minister Shri @narendramodi ji for reposing faith in me. Your leadership and continued support is a great source of inspiration. I assure you that I will put my best efforts to serve our people and country.,0
hasoc_en_214,"@Explore_Islam told you Islam is not fair. No point discussing it any further.   Islam is a disgrace, it treats women as unequals in society. Why would any western country politician want to import more of this cult? Sheer madness.",1
hasoc_en_2574,"@realDonaldTrump As an owner of a small family farm, let me be the first to say #FuckTrump.",0
hasoc_en_4214,Remember when we had a REAL President in the White House? Ah those were the days. #maga #FOXNews @GOP @RealDonaldtRUMP #FuckTrump https://t.co/nvafKIA2iY via @YouTube,1
hasoc_en_1927,"@Miz_banks @PenceConscience Well technically yes,  but I think that's a lot of effort. I have people and pages I follow, that I built over time. I'll accept the time out, it was worth it. #fucktrump #byefelicia",0
hasoc_en_3248,He probably.. or should've got mashed on.  #forsure #dickhead https://t.co/2WcA0tH9HW,1
hasoc_en_2820,"@private_prive @EOketokun fuck both of you. If I say he’s in a fucking medical, he’s in a fucking medical. I work hard for this shit, don’t come at me with that criticism shit, you want beef we can sort this out properly still #dickhead",1
hasoc_en_536,"When are these douche bags going to realize that most of the economic gains are just continuing trends from Obama's administration?  Also, these don't negate him being a racist asshole.  It's like the battered wife making excuses for staying in the relationship.  #FuckTrump ",1
hasoc_en_1432,I am watching rain on Star Sports peacefully  But World Cup Matches interuppt it.  #ShameOnICC,0
hasoc_en_2767,@hd_kumaraswamy Where are you? Why isn't this case with CBI yet? We don't want your SIT. We know they will not do the job. Please transfer case to CBI. What are you afraid of?  #IMAJewels   #IMAJewelsFraud   #IMAFraud  #IMA  #IMAFraudCase https://t.co/TcxOa97OLB,1
hasoc_en_1229,"#ShameOnICC    If all remaining get washed :   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Bang - 8   SA - 6  Afg - 6    Semi Final  Aus vs NZ  (If rain continues), NZ  Eng vs Ind  (If rain continues), Ind    Final  Ind vs NZ  (If rain continues), NZ - India will win jointly 🤣🤣.",0
hasoc_en_4019,"@realDonaldTrump He was an informant for the government and it was started by the Republicans...who gave it to the FBI, unlike you.     #TrumpIsATraitor",1
hasoc_en_5007,"If Boris becomes the new PM, Conservatives have totally lost my vote.  Tax cuts for the higher earners?  How about raising the personal tax allowance at the bottom instead, allowing struggling families to feed their kids.  What an idiot.  #BorisJohnsonShouldNotBePM",1
hasoc_en1_1203,Ramalingam murder: Man who headed dawah team arrested in Tamil Nadu,0
hasoc_en_4642,Layleen Polanco is the 10th trans woman found dead in U.S. this year #Resist #ResistTrump #FuckTrump https://t.co/8RrE6cZNkm,1
hasoc_en_6,Real Scenario: Muslims fakes Jai Shree Ram controversy  AP Sen: But it was their Right to shout. InTolerance is increased . modi must resign  Real Scenario : Muslim Mob Attackes Doctor. TMC goons attack Professor asking them to shout Mamata Beham Zindabad   AP Sen : Consumed Fevicol,0
hasoc_en1_537,lazydocker :  A simple terminal UI for both docker and docker-compose : https://github.com/jesseduffield/lazydocker/blob/master/README.md …,0
hasoc_en_4875,The massive crowd of doctors protesting against CM @MamataOfficial in Kolkata   The Suppression and atrocities of @MamataOfficial  govt has reached its peak and people of West Bengal will no more tolerate it      #SaveBengal  #FridayMotivation  #DoctorsFightBack https://t.co/kHgWXheFcK,1
hasoc_en_3816,Dear @ICC too much hypocrisy  Humble request to fellow Indian  Supporters who is going to watch upcoming matches in stadium take #BalidaanBadge insignia with you especially #IndvPak match held on16th June. #DhoniKeepsTheGlove #CWC19 #bycotticc,0
hasoc_en_3964,We should ALL fight back against donnie dump's unconstitutional question on the new census that asks if you are a citizen! Check off □not a citizen!! #fucktrump,1
hasoc_en_1143,The 'new law' fake promises are coming!     #SaveTheDoctors  #SAVETHESAVIOUR   #DoctorsStrike   #doctors_against_assualt   #DoctorsFightBack https://t.co/4TwxarIel0,0
hasoc_en_3045,"Dear doctors,  The respect you get is  NOTHING in front of the hardwork and sacrifices you put in to get that degree.     STOP POLITICIZING THIS PROFESSION . IT HAS NOTHING TO DO WITH POLITICS ,IT'S HUMANITY  Act like humans🙏  #DoctorsFightBack  #IstandwithNRS   #DoctorsUnderOppression",0
hasoc_en_2923,How will he defend us from him....resign,1
hasoc_en_3972,@realDonaldTrump Loser    #SenileAF #StableGenius #racist #rapist #pervert #treason #Resist #UnstablePresident,1
hasoc_en_272,I didn't realise it had ever broken down (or was ever allowed to operate fully in the first place because of British Government oppression).,0
hasoc_en_3603,"@AynRandPaulRyan @RAICESTEXAS Just imagine where we will be by the end of this first term...  Then consider where we will be if he is re-elected to another 4 years...  Let’s go, America — we have a democracy to defend! 🇺🇸 #Vote #ResistTogether #TrumpIsATraitor",0
hasoc_en_2998,#UnfollowTrump  #UnfollowTrump  #UnfollowTrump  #UnfollowTrump  #UnfollowTrump  #UnfollowTrump  &amp; JUST 2 break it up a LITTLE...  #FuckTrump TOO https://t.co/0be86fMZwq,1
hasoc_en_1974,"Seen in The Deccan Chronicle (Bangalore, Karnataka, India) today. Looks like @RoryStewartUK made a good impression internationally in the @Channel4News debate. #Brexit #conservativeleadership #BorisJohnsonShouldNotBePM https://t.co/q1L9yCjvg5",0
hasoc_en_2942,"So, #rape is still a crime, right?  So, if a #rapist gets #parentalrights, does a bank robber get to keep the money?   https://t.co/DbIf0jhiVm",0
hasoc_en_2412, spycam lesbians kazakhstan dating sites cum grannies doctors oral sex pussy fuck ass fucked girl getting fucked clips nipples sex phat ass fucked fuck housewife girls have real sex sex stories real nipples cock pic.twitter.com/XtSNYnH8oI,1
hasoc_en_5620,Interviewer- Why are you beating up the protesting doctors. They haven't done anything wrong.    Policeman-  #DoctorsFightBack https://t.co/LkZe5PncDb,1
hasoc_en_5263,#ShameOnICC #INDvsNZ #CWC19  New logo of world cup 👇👇👇 https://t.co/tXY4bUEWBH,0
hasoc_en_2950,"@Channel4News @krishgm @Mark_J_Harper   -parrots 'I've been very clear'  -doubles down on #GoHomeVans  -pitches party survival priority  -Brexit by NoDeal exit his strategy  Boringly flat regurgitated 'red, white &amp; blue Brexit' that 'we're going to make a success of'    #douchebag",0
hasoc_en_3776,This - is - remarkable.     #TrumpIsATraitor #TrumpMustGo #TrumpMustResign Happy #JohnMcCainDay https://t.co/MTeMDl4hIZ,0
hasoc_en_4874,@AlexandraChalup They are correct not to trust him. #TrumpIsATraitor,1
hasoc_en_588,A billion people waited for four years to watch how it rains in England.   #ShameOnICC .,0
hasoc_en_4391,@IndianExpress #DoctorsProtest   #DoctorsUnderOppression   #DoctorsFightBack   Well done friends. Don't meet arrogant Mamta. Government must pass ordinance to protect medical staff on urgent basis.  #mamtafrustrated #India  #WestBengal,0
hasoc_en_2281,#Trump Tweets About Epic Interview Fail &amp; Gets Mocked Like A Clown #TrumpIsATraitor #VoteBlue2020  https://t.co/5s2tNnBY8u,0
hasoc_en_620,"Who are you?  OUTSIDER.  Who are we?   OUTSIDER.  Who are they?  OUTSIDER.    Outsiders, Outsiders, Outsiders........O@&amp;%*^    #DoctorsFightBack #DoctorsProtest https://t.co/23RPuC59Ot",0
hasoc_en_1512,This tweet is only in solidarity of of all my Doctor friends across the country. You deserve better than this. Way better than this.     #DoctorsFightBack .,0
hasoc_en_2549,#ImranHataoMulkBachao #ImranKhan Must  #retweet  #MustWatch #Budget2019 #AwamDushmanBudget #ImranKhanAddressesTheNation    #mustretweet https://t.co/4usfp7K2b1,0
hasoc_en_3895,#DoctorsFightBack Angry Relatives Of Patients roughing up and mishandling Doctors is old story. So is protest by Doctors to counter such misbehaviour. But BJP has achieved a first by converting this into Muslims vs Doctors.,0
hasoc_en_2917,#GandiNaaliAbuse hey you supporters of Gandi Naali abuser say that person does not know Hindi. Was he intending to speak in Italian language which is not a language in Indian Parliament. The same abuse should apply to those who shower it.,1
hasoc_en1_4829,@ashwani_mahajan sir your point is very relevant & real. Most of the economist's are inspire with western countries economy. But we have different economy our issues are different. Our economy based on agriculture & small scale industries & businesses.,0
hasoc_en_1583,Being a doctor onbehalf of entire medical fraternity.   #Savethedoctors #SAVETHESAVIOUR #DoctorsProtest   #DoctorsFightBack   #medicalstudent #DoctorsStrike   #DoctorsUnderOppression https://t.co/xu4xMbLMAb,0
hasoc_en_824,"Driving down Sepulveda Boulevard this morning I had to stop and pull over and take a picture of this #fucktrump _revok_  here in #vannuys #losangeles #photography @ Van Nuys, California https://t.co/ESp1ZMRyte",0
hasoc_en_402,Holy Sh*t between @LewisHamilton and @MBrundleF1 I don’t know who is the bigger #douchebag #CanadaGP,1
hasoc_en_5451,@MaddoxxMe @HeWhoLovesWords @HillaryClinton Treason in the WH. Republicans in Senate all complicit     #FUCKTRUMP    🔥👉🏻🍄👈🏻🔥,1
hasoc_en_782,@ICC can keenly look into wht is on @msdhoni gloves but cannot properly plan a tournament vch comes once in 4yrs #CWC19 #RainStopsMatch #ShameOnICC,0
hasoc_en_3078,"So far, 4 matches have been dusty by rain Why do not understand @ICC before making your biggest event? While #Dhoni's gloves look so much!😏  #CWC19 #INDvNZ #dhonikeepstheglove",1
hasoc_en_4561,"#KellenWinslowII trial: #Guilty of #rape, #indecent #exposure, #lewdconduct https://t.co/jygu6Ii1e2? #convictedrapist #Rapist #Homelesswoman #Homeless #Chargers #sexualharassment #Sexualassault #Sexualmisconduct #Sexabuse #sexassault #sexcrimes #NFL",1
hasoc_en_2715,@RepChrisStewart ——    @RepChrisStewart hitched himself to the #TrumpTrain of lies today.      Chris will get an education as he’s dragged through the mud.     Sad!    #VoteBlueNoMatterWho   #TrumpIsATraitor     ——-,1
hasoc_en_5738,@SenSchumer Shut it up Chuckles! How about those dads who now have one less child thanks to them being murdered by illegals. Leave it to a Democrat to turn Father’s Day into politics. #DickHead,1
hasoc_en_1119,@RepMattGaetz #Georgepopodoplis   Say it with us GEORGE POPODOPOLIS  Not benghazi.     #trumprussia only hire the best people.    #Benghazi #GymJordan   #Milkshake #douchebag,0
hasoc_en_5410,"@funder I wonder if his cult/followers are going to watch it since it's not on their only news station,  fox. #TrumpIsATraitor #TrumpRussia #TrumpsAnInternationalDisgrace",1
hasoc_en_4807,#PHIvsATL why does Gabe Kapler look like he just needs a good ass whipping? #douchebag,1
hasoc_en_2296,"#DhoniKeepsTheGlove   #DhoniKeepTheGlove   #DhoniKeSaathDesh     Sir please do not change your gloves,  please sir...     @msdhoni @BCCI",0
hasoc_en_477,#sharethetrophy #yeswekane ICC retains #kumardharmasena in elite panel.. A World Cup was robbed on the back of umpiring errors. What’s the message ICC building here? #nzrobbed #backtheblackcaps,0
hasoc_en_292,It is obvious the whole thing is staged.,0
hasoc_en_435,"Why the #DoctorsFightBack is not just about violence unleashed on them ? Its time to address faltering justice systems, crippled health systems and broken dreams  https://t.co/S2akvvDDlY",0
hasoc_en_2455,"Again Congress started abusing PM from day 1. So pathetic and tragic. Matilaal, JawaharlalN, IndiraG, all were character-corrupt, and now IndiraG is MaGanga! And Mr Modi is Gandi Naali ! Even bastards never speak this language. Hate these parliamentarians.#GandiNaaliAbuse",1
hasoc_en1_20,Beating #Thailand in their home is a commendable performance. Congrats our new coach @stimac_igor,0
hasoc_en_5372,"It seems that trump supporters don’t understand how “respect” works. It is earned through action and intention, not through accomplishments.   #fucktrump #allgodsarefalsegods",1
hasoc_en_1417,#SAMIIBRAHIM #PakvsInd #FawadChaudhry #HinduSamarajyaDiwas #DoctorsFightBack #BoycottBankAlFalah Hahaha When You Type Bhikhari in Google Search It is Popping Up Imran Khan Pics 😂😂😂😂😂 https://t.co/hmmmzcxRYT,0
hasoc_en_5689,Yup all thanks to Trump #fucktrump https://t.co/QTkOkpUTP8,1
hasoc_en_390,India at it’s worst phase.... aaj hindu muslim horaha hai kal ST SC HOGA Ffir general obc chalega .... indeed we steeped into a new india.   Whatever you guys did was 100 n 1% correct @ZomatoIN . #Zomato,1
hasoc_en_1772,Barack Obama freestyle! Trump diss. Mixtape out in 2020!    #mmmfreestyle #obamafreestyle #trumpdiss #barz #FreeTayK #thuglife #BarackObama #DonaldTrump #fuckdonaldtrump #fucktrump https://t.co/ZjLCiUhyMR,0
hasoc_en_3362,"Trump, Forgetting Jonah Incident, Admits To Talks With Prince Of Whales #Resist #ResistTrump #FuckTrump https://t.co/QcNQs4Ea69",0
hasoc_en_2712,@drgeorgekro @realDonaldTrump https://t.co/wQKrsxlw3V    Agree. By The hand of @HillaryClinton. 🤣😂🤣 #douchebag,0
hasoc_en_288,Trump is a traitor. Period.    #TrumpIsATraitor https://t.co/7WTTkTuAq4,1
hasoc_en_4332,Kamala Harris: Trump is a 'clear and present threat to democracy' #Resist #ResistTrump #FuckTrump https://t.co/tiXRqWV5V4,1
hasoc_en_1963,@ICC Poor effort 👎🏻👎🏻 #DhoniKeepsTheGlove,0
hasoc_en_4222,"@Emolclause @H_Town_74 @AOC @cspan Hummm  #tRUmp would like that. We can pull that trigger when #Rethuglicans aren’t in a position to use it against us, with terrible results btw.   Hold that thought a bit longer, besides #DickHead could possibly win another term before being removed from office.",1
hasoc_en_2510,@UKMoments @BorisJohnson Boris can’t even debate with 5  Conservative colleagues how will he cope against 27 EU Delegates. #BorisJohnsonShouldNotBePM,0
hasoc_en_3116,@TheRealOJ32 GOD has some 'getting even' to do with you too.  #MURDERER,0
hasoc_en_2805,"@realDonaldTrump So did you start this so when you get out of prison, if you ever do. You'll get help to immerse yourself back into society? #McCainsAHeroDay #FuckTrump #treason #ImpeachTrump #ResignTrump #TraitorTrump",1
hasoc_en_5477,Senior cabinet ministers were reported to have hatched plans to force other candidates to withdraw from the race   #BorisJohnsonShouldNotBePM  #March4Change  #StopBrexit #FBPE #SODEM https://t.co/0fdf38ZIJt,1
hasoc_en_3459,"Hey, no strike for some workers? #DoctorsFightBack at what cost? https://t.co/zgZ6uGeTG4",0
hasoc_en_4843,"#ShameOnICC  If such situation happens in India then whole world will blame us for our management,but currently it is in England so no one is saying anything. Guys We need to make these hashtag trend so that they can realise there worst management and wrong decision on M.S Dhoni.",1
hasoc_en_3978,"@SassyKadiK Ken Dilanian, but isn’t everybody? #douchebag",0
hasoc_en_512,@realDonaldTrump @GOP @TheDemocrats  @IntlCrimCourt     THE ICC BETTER START ARRESTING US POLITICIANS.    WHAT THE FUCK IS WRONG THAT US CAN COMMIT GENOCIDE AROUND THE FUCKING WORLD & YOU DO SFA!    THEY'RE KILLING PPL ALL OVER THE GOD DAMNED WORLD!    ICC SHOULD BE HELD ACCTABLE FOR IT!,1
hasoc_en_4954,@ICC you are able to see the  BALIDAN batch on @msdhoni gloves but not able to see the clouds above you. Very poorly managed by ICC.  #ShameOnICC,1
hasoc_en_3898,"We fans wait for 4 years, this time format was great but your brainless planning for the venue have ruined all the charm. I really wish that atleast 10 more matches get washed away and you are forced to reschedule each abandoned match again. What a pathetic WC thid is #ShameOnICC",0
hasoc_en_980,Even you haven't crashed the market and you bankrupted casinos. I do know that the national debt is at an all time high and you don't reimburse people who loan you money. #TrumpIsATraitor #DonTheCon https://t.co/VcU7GfafaS,0
hasoc_en_4041,No. He is and always has been a #dickhead https://t.co/P0FpgT0qa2,1
hasoc_en_3875,"#Dhoni can use a temporary tattoo on his neck for this logo, ICC can do nothing about it    #Tattoo_it_Dhoni  #DhoniKeepTheGlove   #DhoniKeepsTheGlove   #DhoniKeepTheGloves   #WC2019 https://t.co/ND04U3mkpc",0
hasoc_en_5534,@AprilDRyan He should still be serving out his murder conviction. #Murderer #GamedTheSystem,0
hasoc_en_2860,"A PM is the king of the nation. In olden days if any person equivalent to an MP would have uttered the same abuse thrown at Modi today in king's durbar , his head would have rolled down on the ground. The word uttered is to that proportion. Pack and leave India.\n#GandiNaaliAbuse",1
hasoc_en1_1732,"Please save t EVM from manipulations,U will clean sweep",0
hasoc_en_3485,Don't let the door hit you on the ass on the way out!!! #Douchebag,0
hasoc_en_5033,"@funder . Donald the #FuckTrump is the greatest, #ManyPeopleSay probably greatest ever, #GlobalLaughingStock.    #TRE45ONenough?  #TRE45ON enough?  #DumpTrump",1
hasoc_en1_3865,"Our biggest fans this week: asadowaisi, warispathan, AimimFansClub. Thank you! via https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=2b6a651d67daed1419a46789 …",0
hasoc_en_5235,"Fuck republicans the biggest snowflakes ever🙄Funny how that list of words describes the fat, racist, ignorant, hideous moron absolutely PERFECTLY. PLEASE get rid of this fucking demented, delusional criminal!! #FuckTrump #ArrestTrump #ImpeachTheMFTraitor #ImpeachDonaldTrumpNOW https://t.co/7RDbLRWAQP",1
hasoc_en_2446,#GandiNaaliAbuse It is an insult to the constitution N democracy  of the nation.,0
hasoc_en_615,"In the name of Islam, there should be no room for the disgrace and injustice of women in Pakistan.  #اسلامی_معاشرہ_کا_قیام",0
hasoc_en_5519,#GandiNaaliAbuse \nThe MP must be kicked out at once.,1
hasoc_en_68,#dirtyjohn #bravo holy crap the guy was in #LosGatos and that's in my neck of the woods it's #siliconvalley #sanjose #scary #murderer,0
hasoc_en_632,Racist everywhere #fucktrump  – at Ayres Suites Ontario Mills Mall,0
hasoc_en_766,Why would Spain stop selling us tomatoes after #brexit?  @Arron_banks,0
hasoc_en_4964,"@TheRealOJ32 Oj as a father, when you left Nicole laying dead in her walkway...what did you think your kids would say if they found her? #AskingForAFriend  #OJdidit  #murderer #fuckyou",1
hasoc_en_3925,@EllisFan14 Only if he finds you. #OJSimpson #murderer,0
hasoc_en_312,"Yeah, even Muslims don’t eat other than halal but loves to sex with Hindu women, here no halal ",1
hasoc_en_4575,Some record labels 🏷 Owners can kill Talent sha.... Awon #DickHead,1
hasoc_en_1447,Proud of my alma mater. Violence against doctors on duty is not acceptable.  #RGKar #DoctorsFightBack #DoctorsProtest https://t.co/7hDWDa8VO2,0
hasoc_en_364,I think majority are just giving him the benefit of doubt let's see what he does and if we are out by 31oct,0
hasoc_en_37,https://www.facebook.com/events/643528052795898/ …   Please come along. 6 years too many. #closemanusisland #bringthemhere #notodetention #refugeesarewelcome,0
hasoc_en_1581,Justin Bieber challenges Boris Johnson to a TV debate  https://t.co/Mm4ChBZtcJ  #ToryLeadershipDebate #borisjohnson #JustinBieber #politics #comedy @haveigotnews @NewsjackBBC @bbcbreakthenews @PrivateEyeNews @TheNewsQuiz @BBCNowShow #BorisJohnsonShouldNotBePM,0
hasoc_en_1041,.@SenateDems @HouseDemocrats DO YOUR FUCKING JOBS!! #FuckTrump And Who Votes For Him! You Need To Worry About Who’s Gonna Vote Democratic After YOUR NON WORKING ASSES!! @SpeakerPelosi @SenSchumer,1
hasoc_en_4510,"@wreckanize @BrendaK8881 @BarbraStreisand Of course she has a NASCAR header, and a red MAGA hat and not one ounce of sense. #IdiotTrump",1
hasoc_en_4177,@realDonaldTrump   Is @FoxNews treasonous &amp; an enemy of the people for posting their poll results about you failing?    #IndictTrump #ImpeachmentInquiryNow #Trump #TrumpRussia #TrumpIsATraitor #TrumpMustResign https://t.co/vKS0vlX3ir,1
hasoc_en_5758,"@imgulrez @narendramodi @PMOIndia This man completely nailed Mamata, her politics and her hypocrisy. #DoctorsFightBack https://t.co/yvSI1nr5Zp",0
hasoc_en_549,Jarvis we muslims may slaughter animals to feed our selves nd poor people what about the hindus killng nd lynching muslims nd americans that killed hundred of people n drones attack n pak ? How u justify that !,1
hasoc_en_1508,#ImpeachTrumpNow WE NEED TO REMOVE THIS MOTHERFUCKER RIGHT NOW!!! AMERICA HAS FALLEN TO IDIOTS!!! #FUCKTRUMP,1
hasoc_en_609,"@realDonaldTrump CMON DON, THE TRUMPERRHOIDS HAVE TO GO TO WORK...SQUEEZE OUT A COUPLE FOR US    TRUMPERRHOIDS NEED THEIR DAILY LOAD FROM THE BIG TWEET SQUATTER  #REALDONALDTRUMP #FUCKTRUMP #TRUMP2020 https://t.co/OgsQYU5iIx",0
hasoc_en_2090,Some more than others...    It's alright it was only 5 years....    #BorisJohnsonShouldNotBePM https://t.co/lQJNrNUNdE,0
